Model,Configuration,Layer,Sparsity
Llama-2-7b-hf,magnitude_30,0,0.3007867398039665
Llama-2-7b-hf,magnitude_30,1,0.30077337353958367
Llama-2-7b-hf,magnitude_30,2,0.3007420455853556
Llama-2-7b-hf,magnitude_30,3,0.30075468053471854
Llama-2-7b-hf,magnitude_30,4,0.3007573340223243
Llama-2-7b-hf,magnitude_30,5,0.3007570128366737
Llama-2-7b-hf,magnitude_30,6,0.3007759034942469
Llama-2-7b-hf,magnitude_30,7,0.3007815168311559
Llama-2-7b-hf,magnitude_30,8,0.30077836921178
Llama-2-7b-hf,magnitude_30,9,0.3007611289543191
Llama-2-7b-hf,magnitude_30,10,0.3007687879967566
Llama-2-7b-hf,magnitude_30,11,0.3007608176513039
Llama-2-7b-hf,magnitude_30,12,0.3007572253133349
Llama-2-7b-hf,magnitude_30,13,0.30075744767263146
Llama-2-7b-hf,magnitude_30,14,0.3007567707121063
Llama-2-7b-hf,magnitude_30,15,0.3007541666376776
Llama-2-7b-hf,magnitude_30,16,0.3007453612095334
Llama-2-7b-hf,magnitude_30,17,0.3007423618296885
Llama-2-7b-hf,magnitude_30,18,0.30073412959439766
Llama-2-7b-hf,magnitude_30,19,0.3007386558414123
Llama-2-7b-hf,magnitude_30,20,0.3007278343556459
Llama-2-7b-hf,magnitude_30,21,0.3007210351024885
Llama-2-7b-hf,magnitude_30,22,0.30072597642019006
Llama-2-7b-hf,magnitude_30,23,0.30072786400355206
Llama-2-7b-hf,magnitude_30,24,0.3007150363427987
Llama-2-7b-hf,magnitude_30,25,0.30071842608674204
Llama-2-7b-hf,magnitude_30,26,0.3007171660507281
Llama-2-7b-hf,magnitude_30,27,0.3007249140368842
Llama-2-7b-hf,magnitude_30,28,0.30073903138155766
Llama-2-7b-hf,magnitude_30,29,0.3007491067283512
Llama-2-7b-hf,magnitude_30,30,0.3007820504934677
Llama-2-7b-hf,magnitude_30,31,0.3008003037210573
Llama-2-7b-hf,wanda_30,0,0.3001420905552997
Llama-2-7b-hf,wanda_30,1,0.30013559766383985
Llama-2-7b-hf,wanda_30,2,0.3001465772717728
Llama-2-7b-hf,wanda_30,3,0.3001370306459733
Llama-2-7b-hf,wanda_30,4,0.30016575452577265
Llama-2-7b-hf,wanda_30,5,0.300156277078421
Llama-2-7b-hf,wanda_30,6,0.30014553959505547
Llama-2-7b-hf,wanda_30,7,0.30015682556468587
Llama-2-7b-hf,wanda_30,8,0.30015116775591755
Llama-2-7b-hf,wanda_30,9,0.30014702693168366
Llama-2-7b-hf,wanda_30,10,0.3001447489842232
Llama-2-7b-hf,wanda_30,11,0.30014714552330846
Llama-2-7b-hf,wanda_30,12,0.3001414926558579
Llama-2-7b-hf,wanda_30,13,0.30014208067266435
Llama-2-7b-hf,wanda_30,14,0.30013861680895554
Llama-2-7b-hf,wanda_30,15,0.3001541967836686
Llama-2-7b-hf,wanda_30,16,0.300158446316892
Llama-2-7b-hf,wanda_30,17,0.3001625426692666
Llama-2-7b-hf,wanda_30,18,0.30016071438171704
Llama-2-7b-hf,wanda_30,19,0.300157883006674
Llama-2-7b-hf,wanda_30,20,0.30015266991649886
Llama-2-7b-hf,wanda_30,21,0.30015120728645917
Llama-2-7b-hf,wanda_30,22,0.3001463153819346
Llama-2-7b-hf,wanda_30,23,0.3001440226105211
Llama-2-7b-hf,wanda_30,24,0.3001415964235296
Llama-2-7b-hf,wanda_30,25,0.30014605843341413
Llama-2-7b-hf,wanda_30,26,0.3001502882013667
Llama-2-7b-hf,wanda_30,27,0.30014678480711626
Llama-2-7b-hf,wanda_30,28,0.30013458963502876
Llama-2-7b-hf,wanda_30,29,0.3001395803659073
Llama-2-7b-hf,wanda_30,30,0.4741968145024591
Llama-2-7b-hf,wanda_30,31,0.30014021779589084
Llama-2-7b-hf,magnitude_50,0,0.50137267829223
Llama-2-7b-hf,magnitude_50,1,0.5013431588602807
Llama-2-7b-hf,magnitude_50,2,0.5013569747845743
Llama-2-7b-hf,magnitude_50,3,0.5013652860809484
Llama-2-7b-hf,magnitude_50,4,0.5013701038657075
Llama-2-7b-hf,magnitude_50,5,0.5013634281454926
Llama-2-7b-hf,magnitude_50,6,0.5013774812530359
Llama-2-7b-hf,magnitude_50,7,0.5013730044191983
Llama-2-7b-hf,magnitude_50,8,0.5013716406155126
Llama-2-7b-hf,magnitude_50,9,0.5013647672425897
Llama-2-7b-hf,magnitude_50,10,0.5013698864477286
Llama-2-7b-hf,magnitude_50,11,0.5013591637883161
Llama-2-7b-hf,magnitude_50,12,0.5013583039990361
Llama-2-7b-hf,magnitude_50,13,0.5013478481707795
Llama-2-7b-hf,magnitude_50,14,0.5013546820131608
Llama-2-7b-hf,magnitude_50,15,0.5013408512649141
Llama-2-7b-hf,magnitude_50,16,0.5013261557860695
