Model,Configuration,Task,Accuracy
Llama-2-7b-hf,dense,piqa,0.7812840043525572
Llama-2-7b-hf,dense,hellaswag,0.5710017924716192
Llama-2-7b-hf,dense,arc_easy,0.7546296296296297
Llama-2-7b-hf,dense,boolq,0.7932721712538227
Llama-2-7b-hf,dense,rte,0.6389891696750902
Llama-2-7b-hf,dense,average,0.7078353534765437
Llama-2-7b-hf,magnitude_30,piqa,0.7840043525571273
Llama-2-7b-hf,magnitude_30,hellaswag,0.5812587134037045
Llama-2-7b-hf,magnitude_30,arc_easy,0.7596801346801347
Llama-2-7b-hf,magnitude_30,boolq,0.7519877675840979
Llama-2-7b-hf,magnitude_30,rte,0.5776173285198556
Llama-2-7b-hf,magnitude_30,average,0.6909096593489841
Llama-2-7b-hf,wanda_30,piqa,0.780195865070729
Llama-2-7b-hf,wanda_30,hellaswag,0.5656243776140211
Llama-2-7b-hf,wanda_30,arc_easy,0.7558922558922558
Llama-2-7b-hf,wanda_30,boolq,0.7856269113149847
Llama-2-7b-hf,wanda_30,rte,0.5667870036101083
Llama-2-7b-hf,wanda_30,average,0.6908252827004198
Llama-2-7b-hf,magnitude_50,piqa,0.7459194776931447
Llama-2-7b-hf,magnitude_50,hellaswag,0.530870344552878
Llama-2-7b-hf,magnitude_50,arc_easy,0.6784511784511784
Llama-2-7b-hf,magnitude_50,boolq,0.6342507645259939
Llama-2-7b-hf,magnitude_50,rte,0.5234657039711191
Llama-2-7b-hf,magnitude_50,average,0.6225914938388628
Llama-2-7b-hf,wanda_50,piqa,0.7606093579978237
Llama-2-7b-hf,wanda_50,hellaswag,0.5182234614618602
Llama-2-7b-hf,wanda_50,arc_easy,0.7255892255892256
Llama-2-7b-hf,wanda_50,boolq,0.7608562691131499
Llama-2-7b-hf,wanda_50,rte,0.5451263537906137
Llama-2-7b-hf,wanda_50,average,0.6620809335905345
Llama-2-7b-hf,magnitude_70,piqa,0.5277475516866159
Llama-2-7b-hf,magnitude_70,hellaswag,0.25871340370444135
Llama-2-7b-hf,magnitude_70,arc_easy,0.2563131313131313
Llama-2-7b-hf,magnitude_70,boolq,0.3785932721712538
Llama-2-7b-hf,magnitude_70,rte,0.51985559566787
Llama-2-7b-hf,magnitude_70,average,0.3882445909086624
Llama-2-7b-hf,wanda_70,piqa,0.5424374319912949
Llama-2-7b-hf,wanda_70,hellaswag,0.2789285002987453
Llama-2-7b-hf,wanda_70,arc_easy,0.29545454545454547
Llama-2-7b-hf,wanda_70,boolq,0.4703363914373089
Llama-2-7b-hf,wanda_70,rte,0.5270758122743683
Llama-2-7b-hf,wanda_70,average,0.4228465362912526
